[Loja Loja2] [2025-04-10T19:54:35.017966900] Veiculo ID: 1, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 0
[Loja Loja2] [2025-04-10T19:54:35.466829100] Veiculo ID: 3, Cor: BLUE, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 1
[Loja Loja2] [2025-04-10T19:54:35.473536700] Veiculo ID: 2, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 4, Posicao na esteira: 2
[Loja Loja2] [2025-04-10T19:54:58.769261] Veiculo ID: 17, Cor: GREEN, Tipo: SUV, Estacao: 1, Funcionario: 4, Posicao na esteira: 0
[Loja Loja2] [2025-04-10T19:55:32.745443700] Veiculo ID: 23, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 1, Posicao na esteira: 1
[Loja Loja2] [2025-04-10T19:55:42.257288400] Veiculo ID: 24, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 2
[Loja Loja2] [2025-04-10T19:56:59.592025700] Veiculo ID: 31, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 3
[Loja Loja2] [2025-04-10T19:57:30.625855500] Veiculo ID: 34, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 4
[Loja Loja2] [2025-04-10T19:57:48.147863600] Veiculo ID: 36, Cor: BLUE, Tipo: SEDAN, Estacao: 3, Funcionario: 4, Posicao na esteira: 5
[Loja Loja2] [2025-04-10T19:57:55.657719800] Veiculo ID: 37, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 4, Posicao na esteira: 6
[Loja Loja2] [2025-04-10T20:28:27.571693200] Veiculo ID: 17, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 0
[Loja Loja2] [2025-04-10T20:28:34.010180100] Veiculo ID: 19, Cor: RED, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 1
[Loja Loja2] [2025-04-10T20:28:45.525614500] Veiculo ID: 26, Cor: GREEN, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 2
[Loja Loja2] [2025-04-10T20:28:46.526922500] Veiculo ID: 27, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 3
[Loja Loja2] [2025-04-10T20:29:08.052858900] Veiculo ID: 41, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 4
[Loja Loja2] [2025-04-10T20:29:11.060712600] Veiculo ID: 42, Cor: BLUE, Tipo: SEDAN, Estacao: 0, Funcionario: 2, Posicao na esteira: 5
[Loja Loja2] [2025-04-10T20:29:14.565940200] Veiculo ID: 46, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 6
[Loja Loja2] [2025-04-10T20:29:37.597199100] Veiculo ID: 59, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 7
[Loja Loja2] [2025-04-10T20:30:11.644636600] Veiculo ID: 79, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 1, Posicao na esteira: 8
[Loja Loja2] [2025-04-10T20:30:21.158954500] Veiculo ID: 84, Cor: BLUE, Tipo: SEDAN, Estacao: 0, Funcionario: 3, Posicao na esteira: 9
[Loja Loja2] [2025-04-10T20:30:25.666893] Veiculo ID: 88, Cor: RED, Tipo: SEDAN, Estacao: 3, Funcionario: 1, Posicao na esteira: 10
[Loja Loja2] [2025-04-10T20:30:49.700468600] Veiculo ID: 100, Cor: RED, Tipo: SEDAN, Estacao: 1, Funcionario: 3, Posicao na esteira: 11
[Loja Loja2] [2025-04-10T20:30:50.203058400] Veiculo ID: 101, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 3, Posicao na esteira: 12
[Loja Loja2] [2025-04-10T20:31:16.231686400] Veiculo ID: 114, Cor: BLUE, Tipo: SEDAN, Estacao: 2, Funcionario: 3, Posicao na esteira: 13
[Loja Loja2] [2025-04-10T20:32:01.789235400] Veiculo ID: 133, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 14
[Loja Loja2] [2025-04-10T20:32:09.799084500] Veiculo ID: 137, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 15
[Loja Loja2] [2025-04-10T20:32:18.308867600] Veiculo ID: 140, Cor: GREEN, Tipo: SEDAN, Estacao: 3, Funcionario: 3, Posicao na esteira: 16
[Loja Loja2] [2025-04-10T20:32:26.319240600] Veiculo ID: 143, Cor: GREEN, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 17
[Loja Loja2] [2025-04-10T20:32:41.348058100] Veiculo ID: 149, Cor: GREEN, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 18
[Loja Loja2] [2025-04-10T20:32:56.870120100] Veiculo ID: 155, Cor: GREEN, Tipo: SUV, Estacao: 2, Funcionario: 3, Posicao na esteira: 19
[Loja Loja2] [2025-04-10T20:33:04.881873400] Veiculo ID: 157, Cor: RED, Tipo: SUV, Estacao: 0, Funcionario: 4, Posicao na esteira: 20
[Loja Loja2] [2025-04-10T20:33:18.398908] Veiculo ID: 163, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 2, Posicao na esteira: 21
[Loja Loja2] [2025-04-10T20:33:48.440887] Veiculo ID: 176, Cor: GREEN, Tipo: SEDAN, Estacao: 2, Funcionario: 2, Posicao na esteira: 22
[Loja Loja2] [2025-04-10T20:33:49.943214900] Veiculo ID: 177, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 23
[Loja Loja2] [2025-04-10T20:33:59.956855600] Veiculo ID: 181, Cor: RED, Tipo: SUV, Estacao: 3, Funcionario: 2, Posicao na esteira: 24
[Loja Loja2] [2025-04-10T20:34:27.990062500] Veiculo ID: 193, Cor: RED, Tipo: SUV, Estacao: 1, Funcionario: 3, Posicao na esteira: 25
[Loja Loja2] [2025-04-10T20:34:57.521078100] Veiculo ID: 207, Cor: BLUE, Tipo: SUV, Estacao: 2, Funcionario: 1, Posicao na esteira: 26
[Loja Loja2] [2025-04-10T20:35:23.549824800] Veiculo ID: 219, Cor: BLUE, Tipo: SUV, Estacao: 3, Funcionario: 3, Posicao na esteira: 27
